127.0.0.1 - - [28/Feb/2014:00:30:11 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:11 +0800] "GET /com.sinaapp.sanrenxing.web/pages/demo.jsp HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:12 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:21 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:24 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:25 +0800] "GET /com.sinaapp.sanrenxing.web/ HTTP/1.1" 200 3262
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:25 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:26 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:26 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:26 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:27 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:27 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:27 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:27 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:27 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:28 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:28 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:28 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:28 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:29 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:29 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:29 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:29 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:29 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:30 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:30 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:30 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:30 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:30 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:32 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:32 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:45 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello!say.action HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:46 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello!say.action HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:47 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello!say.action HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:47 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello!say.action HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:48 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello!say.action HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:48 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello!say.action HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:49 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello!say.action HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:49 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello!say.action HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:49 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello!say.action HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:49 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello!say.action HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:50 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello!say.action HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:50 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello!say.action HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:50 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello!say.action HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:51 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello!say.action HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:51 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello!say.action HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:51 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello!say.action HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:51 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello!say.action HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/Feb/2014:00:30:51 +0800] "GET /com.sinaapp.sanrenxing.web/pages/hello!say.action HTTP/1.1" 200 55
