127.0.0.1 - - [22/Apr/2014:13:04:13 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [22/Apr/2014:13:05:36 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/requestLesson.jsp HTTP/1.1" 200 3804
0:0:0:0:0:0:0:1 - - [22/Apr/2014:13:05:36 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/jQuery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2014:13:05:36 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/sanrenxingCSS/sanrenxing.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2014:13:05:36 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/jQueryPlugin/jquery.form.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2014:13:05:37 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/images/bg_body.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2014:13:05:37 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/images/bg_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2014:13:05:37 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Apr/2014:13:05:40 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/request!requestLesson.action?class=senior&lesson=math HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Apr/2014:13:06:04 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/request!requestLesson.action?class=senior&lesson=physical HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Apr/2014:13:06:16 +0800] "GET /com.sinaapp.sanrenxing.web/jsp/request!requestLesson.action?class=junior&lesson=physical HTTP/1.1" 200 -
